[2026-08-05 14:14:53] USER: ismaiel | ACTION: LOGIN | DETAILS: User successfully authenticated.
[2026-08-05 14:24:31] USER: ismaiel | ACTION: LOGOUT | DETAILS: User safely terminated session.
[2026-08-05 14:24:41] USER: admin | ACTION: LOGIN | DETAILS: User successfully authenticated.
[2026-08-05 14:25:06] USER: admin | ACTION: SEARCH | DETAILS: Queried attendance for Badge: All between 05/11/2026 and 07/14/2026
[2026-08-05 14:26:45] USER: admin | ACTION: EXPORT_EXCEL | DETAILS: Exported dataset to Excel: reports\Attendance_Report_20260805_142628.xlsx
[2026-08-05 14:36:01] USER: admin | ACTION: SEARCH | DETAILS: Queried attendance for Badge: All between 05/11/2026 and 07/14/2026
[2026-08-05 14:36:15] USER: admin | ACTION: SEARCH | DETAILS: Queried attendance for Badge: All between 05/11/2026 and 07/14/2026
[2026-08-05 14:36:51] USER: admin | ACTION: SEARCH | DETAILS: Queried attendance for Badge: 100 between 05/11/2026 and 07/14/2026
[2026-08-06 09:22:02] USER: ismaiel | ACTION: LOGIN | DETAILS: User successfully authenticated.
[2026-08-06 11:02:17] USER: ismaiel | ACTION: LOGIN | DETAILS: User successfully authenticated.
[2026-08-06 11:16:12] USER: ismaiel | ACTION: LOGOUT | DETAILS: User safely terminated session.
[2026-08-06 11:16:18] USER: ismaiel | ACTION: LOGIN | DETAILS: User successfully authenticated.
[2026-08-06 11:25:03] USER: ismaiel | ACTION: LOGOUT | DETAILS: User safely terminated session.
[2026-08-06 11:25:09] USER: ismaiel | ACTION: LOGIN | DETAILS: User successfully authenticated.
[2026-08-06 11:25:50] USER: ismaiel | ACTION: SEARCH | DETAILS: Queried attendance for Badge: All between 07/12/2026 and 08/06/2026
[2026-08-06 11:26:11] USER: ismaiel | ACTION: SEARCH | DETAILS: Queried attendance for Badge: All between 07/12/2026 and 07/20/2026
[2026-08-06 11:26:19] USER: ismaiel | ACTION: SEARCH | DETAILS: Queried attendance for Badge: All between 07/12/2026 and 07/24/2026
[2026-08-06 11:44:31] USER: ismaiel | ACTION: LOGIN | DETAILS: User successfully authenticated.
[2026-08-06 11:44:46] USER: ismaiel | ACTION: SEARCH | DETAILS: Queried attendance for Badge: All between 06/09/2026 and 08/06/2026
[2026-08-06 12:28:41] USER: ismaiel | ACTION: LOGIN | DETAILS: User successfully authenticated.
[2026-08-06 12:30:09] USER: ismaiel | ACTION: SEARCH | DETAILS: Queried attendance for Badge: All between 06/07/2026 and 08/06/2026
[2026-08-06 12:32:31] USER: ismaiel | ACTION: SEARCH | DETAILS: Queried attendance for Badge: 100 between 06/07/2026 and 08/06/2026
